location,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction
unit,°C,mm,%,km/h,°
level,2 m elevation corrected,sfc,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20211025T0000,9.080529,0.0,75.0,5.315336,118.30075
20211025T0100,8.950529,0.0,73.0,6.12,118.07248
20211025T0200,9.000529,0.0,71.0,6.489992,123.69006
20211025T0300,8.770529,0.0,70.0,7.5170207,106.69924
20211025T0400,8.060529,0.0,71.0,7.968939,108.434944
20211025T0500,7.5105286,0.0,72.0,7.289444,110.22486
20211025T0600,7.4905286,0.0,69.0,7.9036193,120.06859
20211025T0700,7.3305287,0.0,67.0,8.225035,113.19859
20211025T0800,7.3005285,0.0,67.0,7.754637,111.80141
20211025T0900,8.620529,0.0,66.0,7.628263,109.29004
20211025T1000,11.640529,0.0,61.0,7.072878,104.74355
20211025T1100,14.010529,0.0,55.0,5.4477882,97.59464
20211025T1200,15.980529,0.0,48.0,1.835647,101.30993
20211025T1300,16.860529,0.0,45.0,4.1046314,285.25513
20211025T1400,18.010529,0.0,44.0,6.924738,278.97263
20211025T1500,18.190529,0.0,47.0,10.041354,284.53445
20211025T1600,17.71053,0.0,52.0,11.966954,285.70865
20211025T1700,16.350529,0.0,57.0,10.24578,288.43494
20211025T1800,15.430529,0.0,60.0,6.638072,282.5288
20211025T1900,14.600529,0.0,63.0,3.8773184,248.1986
20211025T2000,13.990529,0.0,65.0,5.00128,210.25644
20211025T2100,13.5505295,0.0,68.0,5.771239,183.57634
20211025T2200,12.870529,0.0,73.0,5.4119864,176.18593
20211025T2300,12.280529,0.0,76.0,5.0528407,175.91438
20211026T0000,11.880529,0.0,77.0,5.506941,191.30994
20211026T0100,12.010529,0.0,75.0,4.896529,197.10272
20211026T0200,12.370529,0.0,73.0,6.12,241.92752
20211026T0300,12.350529,0.0,76.0,7.8954163,245.77226
20211026T0400,11.860529,0.0,82.0,8.427383,250.0169
20211026T0500,11.670529,0.0,84.0,7.8954163,245.77226
20211026T0600,11.610529,0.0,84.0,7.2,233.1301
20211026T0700,11.850529,0.0,84.0,6.8777895,222.8789
20211026T0800,12.240529,0.0,83.0,5.0911684,225.0
20211026T0900,13.270529,0.1,77.0,9.746631,265.7636
20211026T1000,14.220529,0.1,68.0,13.324863,271.54816
20211026T1100,14.750529,0.0,65.0,12.979984,273.17984
20211026T1200,15.390529,0.0,62.0,11.885453,271.73572
20211026T1300,15.700529,0.0,59.0,11.542478,273.57632
20211026T1400,16.110529,0.0,57.0,11.177405,284.93143
20211026T1500,16.250528,0.0,55.0,9.904906,289.0935
20211026T1600,16.080528,0.0,55.0,9.107359,288.43497
20211026T1700,15.390529,0.0,58.0,6.924738,278.97263
20211026T1800,14.680529,0.0,61.0,4.3349743,274.76364
20211026T1900,13.620529,0.0,66.0,3.319036,257.4712
20211026T2000,12.830529,0.0,69.0,3.396233,212.00539
20211026T2100,12.170529,0.0,71.0,4.68,180.0
20211026T2200,11.470529,0.0,73.0,4.73506,171.25385
20211026T2300,10.660529,0.0,78.0,4.1046314,142.12502
20211027T0000,10.0505295,0.0,81.0,4.1046314,142.12502
